epoch,train_loss,val_loss,test_accuracy
1,0.3053258923356825,0.21623113742098213,83.984375
2,0.2077927745386677,0.20928355073556304,83.984375
3,0.18133433956020284,0.22117024189792572,83.984375
4,0.17844479180661574,0.24819996068254113,83.984375
5,0.14710095870695164,0.24343557162210344,83.984375
6,0.12797138707202702,0.23887646161019802,83.984375
7,0.12759586270055118,0.34932274781167505,83.984375
8,0.10223394804282711,0.30683275163173673,83.984375
9,0.10018707699414764,0.3063686277717352,83.984375
10,0.07975535633916668,0.35150851383805276,83.984375
11,0.08341365904936607,0.2870809416286647,83.984375
12,0.08203570105043187,0.3031980711966753,83.984375
13,0.06967914314871382,0.42688964046537875,83.984375
14,0.06688180671667654,0.36895712856203317,83.984375
15,0.06967295794176676,0.2609872347675264,83.984375
16,0.0500142442168479,0.3163488918915391,83.984375
17,0.06887420978721666,0.4215391524136066,83.984375
18,0.05934421064586855,0.39786303620785474,83.984375
19,0.06497659009298143,0.4346073171123862,83.984375
20,0.04919369811783018,0.38299257792532443,83.984375
