epoch,train_loss,val_loss,test_accuracy
1,0.39117880867173277,0.1960581185296178,86.71875
2,0.1959196412935853,0.18173847254365683,86.71875
3,0.17857430488996517,0.19932163311168552,86.71875
4,0.16780667593702675,0.20048423074185848,86.71875
5,0.16692284264912208,0.27868778817355633,86.71875
6,0.1859699737901489,0.3635995103046298,86.71875
7,0.21261431683475773,0.28251645658165214,86.71875
8,0.18473316671637197,0.26204738123342397,86.71875
9,0.16038984912447632,0.24213573248125614,86.71875
10,0.15197280530507365,0.2309275502804667,86.71875
11,0.14542429133628806,0.3249864213168621,86.71875
12,0.14902698879983897,0.3510437554679811,86.71875
13,0.1458448906429112,0.2831916693598032,86.71875
14,0.14362380510816972,0.3346273651346564,86.71875
15,0.14506067373634626,0.36242262590676544,86.71875
16,0.14714514110431384,0.39592436971142886,86.71875
17,0.15022374622834225,2.1124088257551192,86.71875
18,0.2597303817824771,0.27869657091796396,86.71875
19,0.17008715560659765,0.4122357482090592,86.71875
20,0.16633625170215965,0.30075157824903725,86.71875
